#{"t_start": 1758041572.9613085, "env_id": "LunarLander-v3"}
r,l,t
-139.153529,99,0.315309
-114.23074,64,0.521831
-1.292193,112,0.87521
-353.183801,133,1.295482
-184.69782,103,1.621127
-316.305673,99,1.936685
51.7052,75,2.176995
-204.916545,112,2.533122
-103.154345,92,2.827112
-204.301102,79,3.082771
-127.050126,119,3.461113
-135.298776,73,3.693923
-269.15425,89,3.981794
-86.937142,116,4.354548
-219.715521,138,4.801093
-101.39688,130,5.217177
-256.432692,134,5.649595
-267.901934,114,6.025962
-74.467176,82,6.292872
-434.752715,100,6.622515
-200.497005,91,6.925465
-340.412418,81,7.198186
-116.912047,100,7.526313
-149.559125,129,7.940668
-99.599349,88,8.222106
-184.073381,102,8.548432
-144.636162,92,8.841497
-64.284327,78,9.095415
-250.02483,114,9.467775
-256.361846,102,9.800069
-328.245775,108,10.153214
-153.979048,94,10.451305
-192.034394,102,10.78423
-108.994747,124,11.193776
-95.086971,175,11.766079
-202.322845,102,12.10272
-157.580679,92,12.406417
-193.504845,115,12.787189
-334.233011,103,13.119551
-282.363871,97,13.4284
-337.894123,128,13.841194
-99.840737,84,14.111794
-317.286605,90,14.40633
-96.846735,89,14.695045
-405.286861,106,15.038145
-49.25881,68,15.262963
-218.76194,95,15.570496
-68.885462,96,15.887956
-140.507453,94,16.202177
-183.187485,65,16.418291
-41.764741,100,16.748918
-144.419112,160,17.298634
-146.57775,70,17.532753
-79.427205,54,17.714223
-56.377255,109,18.089392
-133.720835,92,18.409347
-71.3908,163,18.958547
-43.511801,139,19.424875
-75.995205,159,19.964638
-73.02392,216,20.68852
-105.665265,121,21.095631
-105.169932,224,21.840917
-146.147683,213,22.556498
52.14682,1000,26.028286
-30.631304,241,26.860729
-84.596343,110,27.251813
-26.911981,1000,30.755561
-80.453734,141,31.251469
-268.402284,238,33.567838
-231.07918,125,33.639474
-245.06692,212,33.759632
-299.214335,174,33.861437
-269.8432,242,33.999264
-132.843318,451,35.596461
-152.713483,452,37.203064
-134.456434,576,39.23083
-102.1621,305,40.318382
-136.614207,601,42.476417
-248.485495,881,45.583388
-150.337722,173,46.189612
-100.257432,1000,49.687289
-64.080474,1000,53.228148
-83.638404,1000,56.756672
194.025319,670,59.121402
-45.109891,1000,62.696955
-35.31222,1000,66.238822
-144.345708,682,68.651808
-65.876538,1000,69.989761
-76.073331,1000,70.564489
-71.901172,1000,71.147999
-140.559918,782,71.590354
-50.804425,1000,72.159927
-134.635627,1000,75.734522
-223.314054,1000,79.268041
-98.37043,1000,82.733119
-90.523965,1000,86.236809
-94.251154,868,89.288483
-117.715047,59,89.495268
-110.163006,61,89.716697
-107.674939,64,89.951302
-135.974867,81,90.241081
-106.384633,92,90.566675
-56.561232,446,92.139484
-101.042839,691,94.574342
130.77067,586,96.680935
297.414309,434,98.218167
-27.400952,135,98.696352
-113.93179,67,98.938824
-120.672711,76,99.20258
15.862941,171,99.802719
16.368135,281,100.788913
201.059154,398,102.206646
202.717793,472,103.862464
237.897812,508,105.646027
-197.633198,759,107.874635
-156.645652,601,108.223943
-71.919933,1000,108.811127
-70.222808,1000,109.402432
-26.470276,1000,109.967455
-100.103039,778,112.699016
-71.059897,1000,116.182641
-70.163283,1000,119.672628
26.889541,1000,123.164997
139.089282,927,126.43185
115.043735,872,129.547516
207.717697,493,131.290016
6.063763,230,132.104774
234.13994,504,133.885408
-21.637711,172,134.486485
-70.155427,157,135.036453
-35.340385,94,135.368724
13.686207,202,136.07704
-86.099023,157,136.631851
-129.996399,226,137.435451
-88.438175,1000,140.96827
-44.588184,1000,144.670768
-122.328301,512,145.647532
-91.211144,1000,146.233378
-112.505553,1000,146.802247
-80.399116,1000,147.375624
-66.323715,1000,147.937632
-92.717301,1000,151.470898
-80.047598,1000,155.082816
-37.432682,1000,158.601727
-71.02857,1000,162.136258
-33.865514,91,162.457499
3.958803,100,162.812962
74.091843,998,166.373854
148.445247,542,168.281728
-15.475084,1000,171.819242
-90.835557,1000,175.329571
-121.113053,1000,178.900003
-56.013402,1000,182.428384
-130.386824,90,183.42439
-163.529493,72,183.467744
-154.260476,68,183.508447
-161.7739,83,183.55913
-79.074173,74,183.603088
-107.949705,75,183.870004
-126.31782,72,184.12112
-89.309181,89,184.433282
-133.827193,91,184.760613
-64.480879,61,184.976295
-44.772396,1000,188.490313
189.903321,585,190.599522
238.252017,215,191.35506
90.53291,942,194.653317
250.810985,384,196.013637
155.316791,774,198.724731
196.061503,723,201.295249
160.304289,665,203.667228
14.074629,1000,207.264825
185.931761,633,209.513979
131.503219,646,211.836415
-25.054545,377,213.183285
108.03092,643,215.479688
-83.721868,389,216.864169
-82.591374,292,217.892902
-55.64218,112,218.289354
-140.901856,212,219.040922
-72.160056,144,219.196121
-86.391468,128,219.273051
-77.304439,256,219.423549
-95.275349,138,219.507404
-113.751044,156,219.599436
-95.450354,372,220.915483
-9.926386,278,221.87329
8.690211,294,222.914929
-9.451392,305,223.97042
-89.667391,204,224.670021
241.926891,494,226.394524
211.836405,501,228.138855
-65.726435,1000,231.61753
-67.468183,1000,235.181206
-65.20935,1000,238.71971
-16.222624,1000,242.22169
171.202173,357,243.491016
-92.925442,287,244.503255
146.143589,613,246.689872
224.05635,534,248.60947
-7.020824,168,249.204678
-93.799373,98,249.546784
148.050978,803,252.321201
-152.416326,734,255.120069
185.897251,291,255.29053
110.87305,546,255.611924
201.611845,609,255.960515
169.765946,352,256.165702
101.833918,750,258.806872
-321.048543,979,262.221203
110.990046,996,265.708535
-48.310992,1000,269.267174
176.348539,825,272.146128
241.022651,444,273.715968
149.016057,769,276.441133
193.81679,602,278.555428
184.255572,446,280.143592
-197.488365,772,282.882095
240.632492,254,283.7891
195.158943,430,285.332792
151.560641,618,287.574295
246.903244,365,288.887734
145.870554,453,290.493063
-4.223585,138,291.654335
-31.827749,204,291.776723
219.438786,278,291.948331
58.633474,180,292.052404
265.294949,217,292.179701
-52.126337,118,292.597563
69.392068,842,295.550826
-119.609948,523,297.404279
-10.67129,1000,300.923252
-29.395169,1000,304.461824
-17.671343,1000,307.971497
196.560133,621,310.129893
-13.432054,96,310.47057
-11.710532,97,310.808894
-28.239448,1000,314.312849
5.239421,231,315.132568
262.788418,263,316.05421
-20.893036,135,316.523399
-47.221785,188,317.184075
19.891598,1000,320.646398
170.335541,660,322.978352
-118.975557,457,324.560383
245.055227,414,326.028933
12.857996,82,326.323016
-16.372253,124,326.760829
231.683208,315,327.474983
226.76107,328,327.665345
223.799117,372,327.883129
-35.255802,314,328.064791
259.682264,339,328.261159
-87.871965,1000,331.783193
215.736097,506,333.544746
245.596721,245,334.419819
195.02902,502,336.218917
211.666917,395,337.628894
39.83415,1000,341.186212
239.950736,421,342.650312
-8.43607,223,343.429213
-15.078033,94,343.762766
-1.282295,126,344.21497
203.20265,539,346.155235
193.341405,382,347.543426
-68.155369,368,348.884353
204.348464,365,350.187772
202.061051,612,352.364845
271.857929,360,353.643339
260.333751,355,354.92027
-14.936412,218,355.694547
210.072427,549,357.655432
186.290579,813,360.562521
156.250114,806,363.40323
32.207403,144,363.908273
41.875132,155,363.996769
42.845712,223,364.122193
13.163038,155,364.209639
19.568473,154,364.297862
